X,Depth,R1,R2,R3,R4,R5,R6,R7
2.25,0.38,34.92,33.42,38.47,30,35.53,37,39.65
3.75,0.38,59.59,50.41,51.12,62.83,59.51,67.26,64.98
5.25,0.38,19.4,19.66,15.27,29.1,23.89,26.58,18.99
6.75,0.38,19.39,16.53,12.67,27.1,24.95,23.08,16.66
8.25,0.38,37.86,20.21,18.57,28.58,27.17,25.05,21.2
9.75,0.38,39.72,80.27,64.03,72.38,107.16,96.28,66.75
11.25,0.38,81.36,321.6,277.65,239.41,254.86,266.12,202.95
12.75,0.38,112.42,158.03,174.9,178.67,107.09,137.61,156.69
14.25,0.38,113.1,55.81,62.84,75.42,58.59,64.45,68.44
15.75,0.38,77.66,85.89,81.87,95.99,98.31,86.59,120.17
17.25,0.38,134.74,364.37,335.06,242.39,736.03,302.9,382.5
18.75,0.38,335.55,844.14,545.84,345.18,1132.4,422.48,416.75
20.25,0.38,683.46,571.55,669.56,671.83,324.13,593.64,648.38
21.75,0.38,1167.9,593.67,988.8,1046,609.12,1368.2,932.05
23.25,0.38,414.24,283.37,383.95,387.63,344.84,604.62,438.51
24.75,0.38,265.21,135.23,274.36,244.66,201.03,367.37,279.33
26.25,0.38,197.46,167.58,262.86,245,330.52,246.9,243.55
27.75,0.38,279.74,236.41,317.14,287.18,382.38,282.48,308.11
29.25,0.38,661.13,365.98,578.55,477.16,563.68,465.13,521.65
30.75,0.38,1728,1074.5,1419.9,1079.9,1075.9,1210.8,1453
32.25,0.38,308.3,378.55,319.13,381.72,310.23,406.57,436.71
33.75,0.38,314.35,371.17,380.28,370.35,409.5,396.3,382.34
35.25,0.38,366.67,417.15,426.39,387.95,419.33,427.41,391.48
36.75,0.38,964.84,1528.6,1084.7,1088.2,1030.2,965.35,998.81
38.25,0.38,252.46,343.46,285.06,301.53,282.85,238.16,251.41
39.75,0.38,680.42,564.52,609.54,662.4,623.64,619.75,829.71
41.25,0.38,563.71,532.05,556.66,651.74,570.34,682.15,747.66
42.75,0.38,368.99,372.4,393.21,400.97,409.12,466.34,423.45
44.25,0.38,254.61,249.28,261.44,251.17,256.42,271.07,276.23
45.75,0.38,149.8,113.74,148.76,120.31,152.52,154.71,150.29
47.25,0.38,403.38,326.93,393.17,353.2,420.48,414.41,426.23
48.75,0.38,574.71,587.72,580.38,591.37,572.29,557.74,652.95
50.25,0.38,151.01,159.76,162.47,155.82,166.5,155.98,159.96
51.75,0.38,109.9,112.53,121.3,109.76,123.06,121.27,110.72
53.25,0.38,97.12,98.66,108.81,96.15,109,111.02,95.85
54.75,0.38,100.63,106.07,113.96,102.79,114.89,115.61,102.01
56.25,0.38,154.06,169.19,178.49,161.79,180.45,177.6,159.46
57.75,0.38,160.44,177.88,181.71,171.66,185.59,180.02,168.85
59.25,0.38,144.89,149.83,147.05,148.29,148.25,146,144.81
60.75,0.38,88.66,86.22,88.08,87.39,86.22,85.79,87.74
62.25,0.38,253.79,228.74,255.74,241.22,230.13,234.86,250.47
63.75,0.38,2158.8,1909.3,2215.6,1964.7,2056.5,1926,2187.8
65.25,0.38,147.86,135.06,143.01,141.58,140.72,141.63,143.63
66.75,0.38,39.93,39.89,40.57,41.15,42.52,45.1,42.72
68.25,0.38,28.59,29.72,31.08,29.64,31.51,32.78,30.66
69.75,0.38,85.37,91.35,95.31,89.89,95.48,95.48,92.66
71.25,0.38,62.61,70.56,72.01,69.05,72.89,71.58,70.84
72.75,0.38,91.03,108.25,105.3,104.64,109.94,105.87,106.48
74.25,0.38,97.15,106.47,100.75,105.39,103.54,102.4,108.55
75.75,0.38,164.49,157.24,150.51,159.76,146.66,149.13,162.57
77.25,0.38,211.93,194.12,198.57,197.13,188.89,194.12,197.93
78.75,0.38,200.48,185.03,193.21,187.28,183.54,188.29,183.61
80.25,0.38,161.56,158.14,165.2,160.59,161.64,165.67,159.76
81.75,0.38,89.57,90.75,92.94,91.89,92.36,93.2,89.95
83.25,0.38,73.94,75.08,75.56,75.58,75.06,75.8,73.75
84.75,0.38,152.21,148.5,149.17,150.09,148.5,150.96,146.34
86.25,0.38,153.77,148.61,148.33,149.14,147.59,150.48,147.27
87.75,0.38,199.44,191.97,193.07,193.03,192.02,196.15,194.84
89.25,0.38,308.54,304.1,304.52,306.02,304.49,313.61,317.63
90.75,0.38,462.36,469.07,468.58,474.1,483.6,494.23,506.06
92.25,0.38,687.72,705.18,712.19,717.7,740.43,751.16,762.28
93.75,0.38,358.43,370.73,373.71,374.11,386.37,390.38,391.94
95.25,0.38,418.58,432.07,434.94,437.08,446.73,452.47,451.96
96.75,0.38,1558.2,1577,1586.6,1606,1630.6,1648.4,1682.1
98.25,0.38,958.05,929.53,941.9,953.16,959.38,971.26,994.53
99.75,0.38,848.54,810.83,820.59,838.61,838.97,867.99,902.4
101.25,0.38,753.88,726,733.58,747.66,750.06,779.74,806.44
102.75,0.38,349.72,342.27,343.73,349.76,350.08,363.46,371.57
104.25,0.38,240.64,233.3,238.84,239.75,244.34,254.52,254.97
105.75,0.38,187.61,182.14,189.18,186.1,193.38,199.97,199.01
107.25,0.38,142.12,132.59,142.02,135.51,144.28,148.23,144.12
108.75,0.38,104.65,97.23,103.52,99.36,104.04,107.95,102.1
110.25,0.38,66.9,71,73.06,70.85,72.62,72.69,68.47
111.75,0.38,53.85,58,58.58,57.66,57.99,57.84,55.81
113.25,0.38,280.36,307.75,308.8,302.61,303,299.37,284.94
114.75,0.38,965.09,963.08,982.75,954.18,986.34,1026.5,994.55
116.25,0.38,429.01,422.05,418.98,425.5,425.57,431.11,446.34
117.75,0.38,306.73,295.9,298.87,297.93,301.2,301.6,305.24
119.25,0.38,219.85,212.75,218.4,216.1,219.98,222.88,221.9
120.75,0.38,79.02,77.36,79.16,77.67,79.22,79.54,77.88
122.25,0.38,210.18,210.48,213.48,209.2,212.51,213.76,210.42
123.75,0.38,85.07,86.33,86.17,85.77,86.18,86.97,86.25
125.25,0.38,51.87,51.71,51.15,51.13,51.21,51.75,51.44
126.75,0.38,124.94,126.51,125.01,123.43,123.95,122.5,123.2
128.25,0.38,363.15,370.16,389.06,391.87,402.71,397.92,403.92
129.75,0.38,188.11,187.83,191.73,193.79,198.35,197.12,199.89
131.25,0.38,166.46,162.86,167.69,170.04,179.62,185.18,189.27
132.75,0.38,210.96,205.93,212.42,208.93,217.37,214.79,212.64
134.25,0.38,26.02,25.28,25.56,25.15,25.55,25.52,25.21
135.75,0.38,40.12,39.52,39.85,39.59,39.53,40.18,39.76
137.25,0.38,39.03,38.8,38.84,39.04,39.04,39.44,39.01
138.75,0.38,272.54,278.09,278.68,277.38,283.15,280.47,279.58
140.25,0.38,290.49,294.16,293.56,290.22,296.17,291.97,292.55
141.75,0.38,276.65,275.08,275.95,272.26,275.83,274.02,271.38
143.25,0.38,277.57,273.05,276.39,271.9,274.85,276.26,272.55
144.75,0.38,339.23,333.46,341.06,336.52,337.73,342.67,340.13
146.25,0.38,1216.2,1212.6,1198.9,1193.5,1175.3,1189.6,1205.6
147.75,0.38,1179,1184.2,1190.7,1206.6,1176.8,1210.7,1217.2
149.25,0.38,642.61,643.72,655.75,673.7,664.04,677.26,686.39
150.75,0.38,367.62,368.08,361.12,364.06,359.02,369.91,378.28
152.25,0.38,254.1,256.51,251.51,254.9,249.32,247.68,248.11
153.75,0.38,539.46,548.09,536.23,546.97,526.57,522.03,527.39
155.25,0.38,1942.9,1994.8,1939.9,1995.3,1929.8,1918,1945
156.75,0.38,981.49,1021.7,991.34,1014.1,989.56,1002.5,1011.5
158.25,0.38,417.04,422.26,426.8,421.37,426.77,443.54,435.55
159.75,0.38,298.67,297.15,299.86,297.14,301.42,309.27,306.93
161.25,0.38,116.72,113.82,114.7,114.02,116.03,118.89,118.31
162.75,0.38,159.99,157.76,159.05,156.86,161.77,165.05,164.27
164.25,0.38,222.66,215.03,219.07,214.59,221.17,227.92,223.86
165.75,0.38,209.28,206.72,207.54,206.58,209.93,215.71,215.21
167.25,0.38,237.62,246.1,240.59,247.17,249.61,253.8,263.54
168.75,0.38,466.52,491.18,474.78,497.18,492.17,494.79,527.93
170.25,0.38,351.53,390.04,365.09,399.94,373.62,376.89,418.52
171.75,0.38,412.55,445,438.72,460.63,451.19,449.34,473.22
173.25,0.38,287.01,297.35,304.64,303.85,310.74,316.86,314.66
174.75,0.38,280.11,272.63,278.19,272.03,286.32,299.51,291.93
176.25,0.38,380.09,352.97,349.26,350.41,364.96,380.8,379.35
2.25,1.13,30.68,33.1,29.79,38.29,28.84,29.55,27.53
3.75,1.13,37.03,28.04,33.12,24.64,29.17,30.78,38.07
5.25,1.13,24.32,16.56,19.49,22.21,18.23,20.04,22.24
6.75,1.13,12.52,3.84,6.23,8.53,3.85,3.86,6.7
8.25,1.13,26.18,34.94,26.49,30.26,55.49,48.7,32.52
9.75,1.13,8.97,31.77,55,23.25,38.66,35.45,55.3
11.25,1.13,75.31,15.58,20.31,35.44,12.96,10.78,19.59
12.75,1.13,64.81,61.63,62.52,51.04,13.56,61.38,33.47
14.25,1.13,62.14,26.13,30.88,19.98,47.94,42.9,16.55
15.75,1.13,68.71,21.68,17.01,39.76,24.3,21.13,68.23
17.25,1.13,19.05,129.12,91.49,28.86,115.72,39.71,28.03
18.75,1.13,403.26,200.99,170.03,273.52,125.28,181.4,223.65
20.25,1.13,543.83,243.18,312.37,280.02,430.44,389.51,253.76
21.75,1.13,1047.6,2007.6,782.89,762.99,864.65,645.02,375.63
23.25,1.13,89.47,1470.5,125.89,272.58,681.48,127.6,1257.7
24.75,1.13,485.83,442.26,470.66,482.16,368.81,608.08,1037.5
26.25,1.13,425.7,313.49,305.37,277.36,275.35,278.71,317.69
27.75,1.13,497.34,459.14,432.13,366.14,382.24,355.16,362.48
29.25,1.13,1317.9,722.97,1319.4,1432.5,1470.6,1186.1,1450
30.75,1.13,564.99,966.1,601.07,758.68,958.53,479.51,578.55
32.25,1.13,107.5,238.42,85.32,142.68,101.64,192.47,254.22
33.75,1.13,594.18,426.15,643.87,330.63,475.94,361.62,386.08
35.25,1.13,805.94,634.19,806.09,501.57,827.85,434.59,484.7
36.75,1.13,342.04,130.26,333.71,145.5,337.81,279.78,298.24
38.25,1.13,390.7,610.18,291.11,778.57,287.15,392.44,416.28
39.75,1.13,264.24,211.39,337.39,171.53,342.13,342.94,252.99
41.25,1.13,223.96,158.13,189.9,176.82,197.2,167.09,210.3
42.75,1.13,169.66,131.83,135.99,138.89,123.59,135.1,120.02
44.25,1.13,324.32,338.23,477.23,388.14,538.56,513.83,509.44
45.75,1.13,191.86,310.23,130.22,272.42,114.24,133.68,150.89
47.25,1.13,215.01,210.06,251.34,210.87,245.39,249.61,252.03
48.75,1.13,404.52,403.82,384.72,415.54,424.93,423.74,406.12
50.25,1.13,221.42,200.68,161.18,208.64,159.53,183.86,213.95
51.75,1.13,228.33,232.6,179.01,237.81,195.83,191.77,231.12
53.25,1.13,193.52,204.01,151.54,205.88,168.32,158.4,208.84
54.75,1.13,270.18,270.2,252.38,282.36,260.3,252.14,294.46
56.25,1.13,418.92,397.86,346.56,416.47,357.14,337.08,432.38
57.75,1.13,247.16,215.18,199.33,216.14,202.34,192.77,217.27
59.25,1.13,171.41,186.78,179.89,189.02,182.79,189.76,192.07
60.75,1.13,240.77,253.01,212.65,252.98,242.97,244.37,250.62
62.25,1.13,62.6,58.68,58.12,56.79,61.03,56.93,57.15
63.75,1.13,630.78,603.17,667.84,616.99,572.31,499.21,591.55
65.25,1.13,143.12,121.16,114.27,127.69,116.7,117.93,126.6
66.75,1.13,131.3,117.23,116.66,117.84,105.14,102.62,111.44
68.25,1.13,136.81,136.71,120.64,140.21,114.95,103.11,117.55
69.75,1.13,175.14,157.69,146.07,160.94,151.54,155,158
71.25,1.13,112.65,89.45,98.13,92.6,93.72,101.21,95.64
72.75,1.13,64.37,56.34,61.66,57.56,57.23,60.26,57.81
74.25,1.13,104.17,104.83,108.79,103.96,110.58,112.44,103.5
75.75,1.13,137.43,139.66,138.92,138.7,139.41,141.52,142.52
77.25,1.13,293.46,283.75,285.87,283.41,285.86,288.09,285.02
78.75,1.13,300.12,313.49,308.08,306.62,319.67,309.69,312.25
80.25,1.13,374.09,378.54,380.64,383.09,387.15,387.63,391.68
81.75,1.13,311.42,313.03,315.9,315.72,315.67,318.59,323.15
83.25,1.13,221.37,219.88,225.81,221.2,224.01,227.44,225.35
84.75,1.13,230.76,234.27,235.57,234.34,236.62,240.48,239.8
86.25,1.13,217.52,219.42,218.64,218.97,220.51,223.48,221.47
87.75,1.13,241.55,254.16,247.73,251.64,250.98,248.56,256.99
89.25,1.13,252.38,258.62,257.3,260.34,264.02,263.12,263.75
90.75,1.13,192.37,195.25,196.92,196.83,196.75,200.02,200.03
92.25,1.13,405.4,411.48,414.82,416.13,424.09,432.02,431.36
93.75,1.13,414.57,411.56,410.14,423.84,416.4,432.92,447.06
95.25,1.13,788.33,772.5,778.94,790.09,778.78,821.36,839.53
96.75,1.13,571.78,570.26,580.37,579.74,588.05,599.31,604.23
98.25,1.13,491.93,514.91,513.04,523.52,526.65,531.52,545.08
99.75,1.13,519.39,532.13,534.52,540.56,534.87,552.26,555.82
101.25,1.13,700.16,704.69,717.23,710.96,726.65,727.09,739
102.75,1.13,683.09,713.54,702.19,718.47,711.32,720.62,736.98
104.25,1.13,351.47,416.32,414.89,415.63,413.86,413.21,417.75
105.75,1.13,131.53,136.75,139,138.46,139.63,142.26,140.3
107.25,1.13,164.03,172.42,163.81,171.74,163.76,161.5,160.46
108.75,1.13,82.81,86.71,83.92,84.16,85.71,82.91,87.09
110.25,1.13,29.25,24.32,23.97,24.87,23.99,24.54,25.91
111.75,1.13,533.6,528.97,491.39,521.67,504.95,478.89,569.25
113.25,1.13,49.63,47.97,48.52,47.68,48.67,50.12,50.03
114.75,1.13,141.62,151.03,144.24,150.5,147.27,131.3,141.8
116.25,1.13,718.74,648.87,667.16,649.53,665.74,689.57,647
117.75,1.13,610.39,647.91,615.04,637.18,608.78,619.18,639.48
119.25,1.13,307.76,326.03,327.2,326.45,327.94,326.9,328.92
120.75,1.13,248.69,248,251.91,253.93,251.24,251.71,260.08
122.25,1.13,146.47,147.33,150.08,148.78,149.69,151.61,149.72
123.75,1.13,70.59,67.87,68.66,67.72,67.76,68.71,67.11
125.25,1.13,100.43,103.82,107.17,106.66,107.41,107.33,105.61
126.75,1.13,27.88,27.22,27.01,27.17,26.96,26.91,27.12
128.25,1.13,310.02,307.96,314.76,311.49,308.78,317.5,312.04
129.75,1.13,453.6,448.25,454.36,463.5,454.05,458.89,466.44
131.25,1.13,221.72,226,216.93,225.09,209.91,214.62,219.96
132.75,1.13,63.01,61.95,61.57,60.6,60.11,60.16,60.69
134.25,1.13,22.77,23.05,23.17,23.33,22.91,23.43,23.59
135.75,1.13,77.99,79.92,79.02,79.37,80.06,78.04,79.51
137.25,1.13,45.57,44.54,44.87,44.42,44.73,45.35,44.48
138.75,1.13,34.85,35.57,34.96,34.92,34.6,33.99,33.5
140.25,1.13,441.2,436.35,438,440.7,441.4,446.25,445.91
141.75,1.13,572.59,573.61,571.29,581.67,577.13,574.78,579.85
143.25,1.13,216.38,216.64,215.25,216.13,213.99,213.38,213.11
144.75,1.13,246.02,247.78,242.2,241.26,241.24,238.24,237.12
146.25,1.13,660.54,657.62,652.89,655.1,650.35,647.77,651.57
147.75,1.13,462.35,454.28,445.87,441.28,442.2,434.8,428.32
149.25,1.13,855.08,855.67,849.49,840.6,860.19,866.39,868.24
150.75,1.13,680.86,685.79,687.93,684.39,689.42,671.92,661.71
152.25,1.13,595.63,587.62,594.93,589.68,605.66,603.15,597.04
153.75,1.13,455.42,456.17,450.57,453.98,454.52,449.48,450.7
155.25,1.13,770.96,785.99,775.88,787.86,778.54,775.98,785.76
156.75,1.13,404.3,409.55,412.59,409.79,412.58,413.21,411.13
158.25,1.13,497.1,509.63,498.5,512.06,501.22,493.84,502.56
159.75,1.13,933.63,840.86,856.91,858.96,856.68,879.03,896.54
161.25,1.13,902.08,783.84,839.52,808.13,817.42,903.5,865.82
162.75,1.13,662.74,564.37,593.26,588.2,572.5,648.93,655.91
164.25,1.13,502.19,477.78,478.66,487.2,481.32,499.6,522.5
165.75,1.13,402.57,412.02,404.15,418.05,413.21,406.85,436.36
167.25,1.13,391.97,376.19,389.93,382.42,381.39,392.92,394.46
168.75,1.13,682.92,690.06,669.8,697.92,662.75,681.14,714.21
170.25,1.13,733.6,613.04,688.95,613.53,724.24,726.16,651.1
171.75,1.13,419.14,438.16,399.45,440.16,399.65,412.23,456.91
173.25,1.13,178.37,178.64,176.97,181.66,187.22,179.78,183.55
174.75,1.13,193.94,192.23,199.85,195.08,196.08,205.38,203.35
176.25,1.13,191.1,203.82,216.11,209.47,214.24,222.44,234.2
3.75,1.91,26.71,26.39,26.44,23.94,24.79,20.62,25.61
5.25,1.91,19.51,12.72,17.82,13.16,12.96,11.96,17.8
6.75,1.91,7.78,2.58,4.82,3.84,2.27,2.32,4.13
8.25,1.91,9.41,32.54,15.48,11.39,25.87,30.86,11.99
9.75,1.91,3.38,17.02,31.94,9.49,14.06,15.69,24.28
11.25,1.91,20.54,3.92,6.3,6.74,2.69,3,6.12
12.75,1.91,27.27,7.98,10.22,9.68,4.76,11.21,9.15
14.25,1.91,25.13,4.67,5.66,6.28,25.79,9.21,9.23
15.75,1.91,21.31,6.55,5.15,10.56,23.72,7.24,28.19
17.25,1.91,8.87,82.12,43.9,12.98,55.73,17.23,10.87
18.75,1.91,374.67,129.03,190.39,333.88,28.93,176.42,251.95
20.25,1.91,1023.8,123.83,290.97,451.59,510.28,447.97,263.32
21.75,1.91,705.62,794,326.56,371.83,347.99,311.24,107.72
23.25,1.91,85.97,490.64,96.98,122.18,163.43,96.93,172.76
24.75,1.91,230.11,220.7,205.17,157.14,117.5,233.92,154.75
26.25,1.91,537.69,401.67,323.29,250.62,188.72,233.03,163.35
27.75,1.91,827.47,533.56,675.36,568.27,542.94,395.96,378.54
29.25,1.91,1406.9,701.62,1550.3,1828.6,1774.4,1156.9,1525.6
30.75,1.91,348.37,685,373.18,718.13,685.86,355.39,328.25
32.25,1.91,99.43,213.33,73.06,119.2,85.22,159.97,160
33.75,1.91,330.05,428.3,305.95,313.71,266.25,361.26,400.7
35.25,1.91,608.26,598.8,524.15,545.16,561.5,471.95,616.12
36.75,1.91,313.67,164.54,298.64,333.96,297.86,392.98,372.92
38.25,1.91,553.97,623.72,376.69,1001.5,345.21,564.18,546.21
39.75,1.91,188.04,266.26,335.24,180.05,334.87,302.4,149.87
41.25,1.91,126.88,115.02,116.92,91.03,129.43,77.62,97.53
42.75,1.91,178.16,171.02,143.89,160.04,128.26,117.38,133.05
44.25,1.91,500.74,566.24,711.21,615.42,836.13,763.29,739.31
45.75,1.91,375.76,751.5,281.34,653.62,246.01,281.17,333.36
47.25,1.91,205.17,224.07,258.12,215.17,233.7,229.48,246.21
48.75,1.91,212.44,180.73,248.58,189.48,297.37,276.93,179.33
50.25,1.91,208.68,172.66,179.5,175.47,167.35,197.62,176.71
51.75,1.91,218.09,192.26,164.86,189.09,164.62,163.27,185.43
53.25,1.91,202.64,182.17,142.35,178.17,147.58,139.06,194.74
54.75,1.91,349.74,284.79,297.08,298.54,288.91,302.99,341.49
56.25,1.91,518.07,417.35,387.44,456.43,382.18,387.5,487.16
57.75,1.91,261.73,244.74,226.18,261.92,217.81,231.57,240.37
59.25,1.91,200.73,270.59,241.08,281.67,248.32,265.66,261.22
60.75,1.91,190.41,235.79,181.9,232.36,209.89,209.11,216.62
62.25,1.91,9.81,12.48,12.39,10.99,13.44,11.58,10.45
63.75,1.91,129.24,149.57,163.08,153.12,140.25,133.4,134.75
65.25,1.91,44.5,42.42,42.18,42.44,44.27,44.69,43.89
66.75,1.91,185.22,189.48,195.26,171.71,166.86,146.9,168.57
68.25,1.91,488.66,553.17,451.65,536.74,440.63,356.35,486.14
69.75,1.91,520.95,475.31,400.65,486.89,420.66,399.61,475.74
71.25,1.91,284.52,200.04,193.43,212.8,187.38,192.14,212.81
72.75,1.91,100.18,72.1,74.53,77.05,67.33,69.57,75.86
74.25,1.91,72.71,64.56,69.86,66.17,67.92,68.48,65.32
75.75,1.91,104.74,114.79,115.49,111.28,120.23,120.16,113.85
77.25,1.91,251.44,255.34,254.5,252.44,261.85,264,251.93
78.75,1.91,334.37,348.64,343.74,342.11,353.92,353.54,349.66
80.25,1.91,490.68,483.93,486,483.97,494.31,503.47,496.28
81.75,1.91,526.98,517.16,519.69,513.59,522.73,532.77,535.61
83.25,1.91,416.48,422.22,427.66,418.64,428.84,434.79,442.75
84.75,1.91,312.31,328.87,335.15,327.09,333.05,339.23,349.95
86.25,1.91,316.68,335.83,331.86,332.98,341.43,341.04,349.86
87.75,1.91,316.48,347.08,331.87,340.44,342.8,335.86,350.63
89.25,1.91,276.96,283.48,277.93,283.15,294.85,288.47,284.79
90.75,1.91,146.87,147.94,148.58,147.31,146.6,149.13,146.46
92.25,1.91,208.48,218.78,219.81,215.84,223.89,220.2,218.17
93.75,1.91,239.73,243.83,254.9,249.87,253.08,254.78,254.15
95.25,1.91,355.65,360.47,379.92,367.04,374.95,381.48,373.62
96.75,1.91,215.65,229.31,239.89,228.94,238.42,238.84,229.24
98.25,1.91,289.97,304.89,307.12,307.39,311.54,315.27,317.85
99.75,1.91,305.41,302.28,308.37,304.53,307.01,320.1,316.04
101.25,1.91,265.1,261.99,268.72,261.55,273.44,275.31,273.58
102.75,1.91,225.58,223.81,223.06,224.96,229.61,227.07,229.86
104.25,1.91,124.6,123.2,124.44,123.76,127.22,123.55,128.56
105.75,1.91,82.46,67.26,65.76,68.97,67.96,70.71,72.75
107.25,1.91,181.12,195.36,174.48,193.59,179.54,180.43,184.59
108.75,1.91,72.86,95.2,92.85,91.41,93.06,88.82,91.56
110.25,1.91,32.59,25.97,27.65,27.01,26.18,26.87,26.9
111.75,1.91,792.47,621.58,643.28,632.2,616.85,628.44,690.54
113.25,1.91,10.5,5.74,6.48,5.7,5.85,7.99,6.34
114.75,1.91,19.96,31.12,24.79,32.06,25.62,19.11,29.63
116.25,1.91,288.6,235.31,264.78,234.9,267.96,268.43,236.45
117.75,1.91,167,156.37,153.09,151.28,149.93,155.63,150.95
119.25,1.91,91.13,94.13,92.75,92.98,93.5,92.5,92.15
120.75,1.91,77.25,81.61,79.37,82.25,79.38,78.59,82
122.25,1.91,58.93,61.2,58.9,61.29,59.65,59.33,60.46
123.75,1.91,89.53,84.75,86.81,85.05,84.27,85.59,83.19
125.25,1.91,149.85,156.79,163.58,161.53,163.15,162.86,157.8
126.75,1.91,23.53,23.76,23.05,23.71,23.52,23.23,23.75
128.25,1.91,60.53,60.77,61.79,59.22,57.88,59.76,56.47
129.75,1.91,93.36,86.82,89.53,86.42,86.15,85.71,82.92
131.25,1.91,54.74,52.19,52.01,51.36,49.69,49.85,48.67
132.75,1.91,26.15,25.38,25.67,25.57,25.67,25.79,26.1
134.25,1.91,35.78,37.34,37.65,38.21,37.58,38.56,39.45
135.75,1.91,145.7,150.52,148.74,149.07,151.88,146.54,150.58
137.25,1.91,71.51,69.9,69.85,68.68,69.56,69.75,68.04
